Rank,Song,Artist,Streams(billions),ReleaseDate,Ref
88,"The Night We Met",Lord Huron,1.925,7 April 2015,[115][116]
89,"Cold Heart (Pnau Remix)",Elton JohnfeaturingDua LipaandPnau,1.921,13 August 2021,[117][118]
90,"Better Now",Post Malone,1.918,27 April 2018,[119][120]
91,"Save Your Tears",The Weeknd,1.916,20 March 2020,[121]
92,"Till I Collapse",EminemfeaturingNate Dogg,1.901,26 May 2002,[122][67]
93,"I Took a Pill in Ibiza-SeebRemix",Mike PosnerfeaturingSeeb,1.899,14 April 2015,[123][124]
94,"Don't Stop Me Now",Queen,1.897,21 January 1979,
95,"Faded",Alan Walker,1.895,3 December 2015,[125][126]
96,"Roses",Saint JhnfeaturingImanbek,1.895,18 September 2019,[127][128]
97,"Flowers",Miley Cyrus,1.892,12 January 2023,
98,"Locked Out Of Heaven",Bruno Mars,1.888,1 October 2012,
99,"Montero (Call Me by Your Name)",Lil Nas X,1.869,26 March 2021,[129][94]
100,"Someone Like You",Adele,1.863,24 January 2011,
101,"Stiches",Shawn Mendes,1.860,16 March 2015,
102,"Before You Go",Lewis Capaldi,1.858,19 November 2019,
103,"The Box",Roddy Ricch,1.857,6 December 2019,
As of April 04, 2024
