Rank,Song,Artist,Streams(billions),ReleaseDate,Ref
88,The Night We Met,Lord Huron,1.925,07-Apr-15,[115][116]
89,Cold Heart (Pnau Remix),Elton JohnfeaturingDua LipaandPnau,1.921,13-Aug-21,[117][118]
90,Better Now,Post Malone,1.918,27-Apr-18,[119][120]
91,Save Your Tears,The Weeknd,1.916,20-Mar-20,[121]
92,Till I Collapse,EminemfeaturingNate Dogg,1.901,26-May-02,[122][67]
93,I Took a Pill in Ibiza-SeebRemix,Mike PosnerfeaturingSeeb,1.899,14-Apr-15,[123][124]
94,Don't Stop Me Now,Queen,1.897,21-Jan-79,
95,Faded,Alan Walker,1.895,03-Dec-15,[125][126]
96,Roses,Saint JhnfeaturingImanbek,1.895,18-Sep-19,[127][128]
97,Flowers,Miley Cyrus,1.892,12-Jan-23,
98,Locked Out Of Heaven,Bruno Mars,1.888,01-Oct-12,
99,Montero (Call Me by Your Name),Lil Nas X,1.869,26-Mar-21,[129][94]
100,Someone Like You,Adele,1.863,24-Jan-11,
101,Stiches,Shawn Mendes,1.86,16-Mar-15,
102,Before You Go,Lewis Capaldi,1.858,19-Nov-19,
103,The Box,Roddy Ricch,1.857,06-Dec-19,
