Song,Artist,Release Date,Issue Date,Weeks,Avs.,Genre
Rockstar,DaBabyfeaturingRoddy Ricch,17-Apr-20,04-Jun-20,2,38,Trap
Blinding Lights ‡(3),The Weeknd,29-Nov-19,18-Jun-20,1,34.4,Electropop
Rockstar(2),DaBabyfeaturingRoddy Ricch,17-Apr-20,25-Jun-20,5,37.1,Trap
Cardigan,Taylor Swift,24-Jul-20,30-Jul-20,1,35.7,Folk
Savage Love (Laxed – Siren Beat),Jawsh 685featuringJason Derulo,11-Jun-20,06-Aug-20,2,32.2,Reggaeton
WAP,Cardi BfeaturingMegan Thee Stallion,07-Aug-20,20-Aug-20,5,46,Hip Hop
Mood,24kGoldnfeaturingIann Dior,24-Jul-20,24-Sep-20,5,38.3,Pop
Positions,Ariana Grande,23-Oct-20,29-Oct-20,2,41.5,Pop
Dakiti,Bad BunnyfeaturingJhay Cortez,30-Oct-20,12-Nov-20,6,47.7,Reggaeton
All I Want for Christmas Is You(2),Mariah Carey,01-Nov-94,24-Dec-20,1,53.4,Christmas Pop
Dakiti(2),Bad BunnyfeaturingJhay Cortez,30-Oct-20,31-Dec-20,2,32.9,Reggaeton
Drivers License ‡,Olivia Rodrigo,08-Jan-21,14-Jan-21,10,50,Ballad
Peaches,Justin BieberfeaturingDaniel CaesarandGiveon,19-Mar-21,25-Mar-21,3,48,R&B
Montero (Call Me by Your Name),Lil Nas X,26-Mar-21,15-Apr-21,5,49.4,Pop
Good 4 U,Olivia Rodrigo,14-May-21,20-May-21,7,63.2,Punk
Beggin',Måneskin,08-Dec-17,08-Jul-21,4,51,Rock
Stay,The Kid LaroifeaturingJustin Bieber,09-Jul-21,05-Aug-21,11,60.8,Electropop
Easy on Me,Adele,15-Oct-21,21-Oct-21,4,57.2,Ballad
All Too Well (10 Minute Version),Taylor Swift,12-Nov-21,18-Nov-21,1,41.9,Pop
Easy on Me(2),Adele,15-Oct-21,25-Nov-21,3,44.8,Ballad
ABCDEFU,Gayle,13-Aug-21,16-Dec-21,1,34.4,Pop
All I Want for Christmas Is You(3),Mariah Carey,01-Nov-94,23-Dec-21,2,40.1,Christmas Pop
Stay(2),The Kid LaroifeaturingJustin Bieber,09-Jul-21,06-Jan-22,1,32.3,Electropop
ABCDEFU(2),Gayle,13-Aug-21,13-Jan-22,2,31.8,Pop
Heat Waves,Glass Animals,29-Jun-20,27-Jan-22,10,30.7,Indie
As It Was ‡,Harry Styles,01-Apr-22,07-Apr-22,9,65.2,Synth Pop
Running Up That Hill (A Deal with God),Kate Bush,05-Aug-85,09-Jun-22,1,57.2,Synth Pop
As It Was ‡(2),Harry Styles,01-Apr-22,16-Jun-22,1,52.7,Synth Pop
Glimpse of Us,Joji,10-Jun-22,23-Jun-22,1,57.4,R&B
As It Was ‡(3),Harry Styles,01-Apr-22,30-Jun-22,1,48.1,Synth Pop
Running Up That Hill (A Deal with God)(2),Kate Bush,05-Aug-85,07-Jul-22,2,47.9,Synth Pop
"Quevedo: Bzrp Music Sessions, Vol. 52",BizarrapfeaturingQuevedo,06-Jul-22,15-Jul-22,9,45.9,Reggaeton
